,week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,2019-01-06,"Perry, Iowa",Alabama vs Michigan,New Year's Day,Adan Canto,Powerball,Nick Saban retiring,Ohio State football,Cowboys,Penn State football,Rickey Smiley,Detroit Lions,NFL playoff picture,Pete Carroll,Ecuador,Christian Oliver,Gypsy Rose release,Michigan,Glynis Johns,Japan earthquake,OG Anunoby,Colts,Jo Koy,Tyreek Hill,Clemson football,Texans
1,2019-01-13,New Year's Day,Ohio State football,Dallas Cowboys,Jason Kelce retire,"Perry, Iowa",Alabama vs Michigan,Powerball,Adan Canto,Kansas City Chiefs,Nick Saban retiring,NFL Games Today,Penn State football,Ecuador,Rickey Smiley,NFL playoff picture,Pete Carroll,Peacock,Michigan,Christian Oliver,Jerry Krause,Colts,True Detective Season 4,OG Anunoby,Coachella 2024 lineup,Jo Koy
2,2019-01-20,Ohio State football,Dallas Cowboys,Alabama vs Michigan,New Year's Day,Nick Saban retiring,Adan Canto,Kansas City Chiefs,Powerball,Jason Kelce retire,"Perry, Iowa",NFL Games Today,Rickey Smiley,Pete Carroll,Ecuador,Wizards of Waverly Place,Penn State football,NFL playoff picture,Jo Koy,OG Anunoby,Christian Oliver,Japan earthquake,Coachella 2024 lineup,Gypsy Rose release,True Detective Season 4,Glynis Johns
3,2019-01-27,Ohio State football,Powerball,Vince McMahon,New Year's Day,Oscar nominations 2024,Dallas Cowboys,Jim Harbaugh,Nick Saban retiring,Adam Harrison,Jason Kelce retire,"Perry, Iowa",Joel Embiid,Alabama vs Michigan,NFL Games Today,Kansas City Chiefs,Adan Canto,Pete Carroll,Rickey Smiley,Lipid,Doc Rivers,NFL playoff picture,Ecuador,Dexter King,Penn State football,Peacock
4,2019-02-03,Ohio State football,Oscar nominations 2024,Jason Kelce retire,Nick Saban retiring,Powerball,Dallas Cowboys,"Perry, Iowa",NFL Games Today,Kansas City Chiefs,Adan Canto,Jim Harbaugh,Alabama vs Michigan,Vince McMahon,Super Bowl 2024,Adam Harrison,New Year's Day,NFL playoff picture,Super Bowl,Doc Rivers,Penn State football,Ecuador,Lipid,Pete Carroll,Rickey Smiley,Dexter King
5,2019-02-10,Super Bowl 2024,Ohio State football,NFL Games Today,Adan Canto,Alabama vs Michigan,Kansas City Chiefs,New Year's Day,Jason Kelce retire,Dallas Cowboys,"Perry, Iowa",Nick Saban retiring,Vince McMahon,Powerball,Oscar nominations 2024,Adam Harrison,Jim Harbaugh,NFL playoff picture,Rickey Smiley,Penn State football,Super Bowl,Doc Rivers,Ecuador,Pete Carroll,Dexter King,Lipid
6,2019-02-17,Powerball,New Year's Day,Alabama vs Michigan,Ohio State football,Oscar nominations 2024,Jim Harbaugh,NFL Games Today,Jason Kelce retire,Adan Canto,"Perry, Iowa",Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Vince McMahon,Nick Saban retiring,Dallas Cowboys,NFL playoff picture,Doc Rivers,Penn State football,Lipid,Rickey Smiley,Super Bowl,Pete Carroll,Dexter King,Ecuador
7,2019-02-24,"Perry, Iowa",Oscar nominations 2024,Powerball,Jim Harbaugh,Super Bowl 2024,NFL Games Today,Dallas Cowboys,New Year's Day,Kansas City Chiefs,Vince McMahon,Jason Kelce retire,Nick Saban retiring,Alabama vs Michigan,Ohio State football,Adam Harrison,Adan Canto,Dexter King,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Penn State football,Pete Carroll,NFL playoff picture,Lipid
8,2019-03-03,Oscar nominations 2024,New Year's Day,Nick Saban retiring,Vince McMahon,Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,Adan Canto,Jim Harbaugh,"Perry, Iowa",Jason Kelce retire,Ohio State football,Dallas Cowboys,NFL Games Today,Powerball,Ecuador,NFL playoff picture,Pete Carroll,Dexter King,Rickey Smiley,Lipid,Doc Rivers,Super Bowl,Penn State football
9,2019-03-10,Kansas City Chiefs,Jason Kelce retire,Oscar nominations 2024,Vince McMahon,Ohio State football,Adan Canto,Alabama vs Michigan,Dallas Cowboys,New Year's Day,NFL Games Today,Jim Harbaugh,Adam Harrison,"Perry, Iowa",Powerball,Nick Saban retiring,Super Bowl 2024,NFL playoff picture,Doc Rivers,Rickey Smiley,Ecuador,Penn State football,Dexter King,Pete Carroll,Super Bowl,Lipid
10,2019-03-17,Adam Harrison,Powerball,Ohio State football,New Year's Day,Super Bowl 2024,Jason Kelce retire,Dallas Cowboys,Vince McMahon,Alabama vs Michigan,NFL Games Today,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Adan Canto,Oscar nominations 2024,Kansas City Chiefs,NFL playoff picture,Dexter King,Rickey Smiley,Ecuador,Lipid,Penn State football,Super Bowl,Doc Rivers,Pete Carroll
11,2019-03-24,"Perry, Iowa",Jim Harbaugh,Kansas City Chiefs,Jason Kelce retire,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Dallas Cowboys,Adan Canto,Oscar nominations 2024,Powerball,Super Bowl 2024,Vince McMahon,New Year's Day,NFL Games Today,Adam Harrison,Lipid,Ecuador,Rickey Smiley,Super Bowl,Pete Carroll,NFL playoff picture,Doc Rivers,Dexter King,Penn State football
12,2019-03-31,Oscar nominations 2024,Jim Harbaugh,NFL Games Today,Ohio State football,Adam Harrison,Jason Kelce retire,Kansas City Chiefs,Nick Saban retiring,Vince McMahon,Dallas Cowboys,Powerball,Adan Canto,Super Bowl 2024,New Year's Day,"Perry, Iowa",Alabama vs Michigan,Pete Carroll,Doc Rivers,Dexter King,Super Bowl,Rickey Smiley,Penn State football,Lipid,NFL playoff picture,Ecuador
13,2019-04-07,Oscar nominations 2024,Adan Canto,Adam Harrison,Ohio State football,"Perry, Iowa",Super Bowl 2024,Jim Harbaugh,Powerball,Alabama vs Michigan,Vince McMahon,NFL Games Today,Jason Kelce retire,Nick Saban retiring,New Year's Day,Dallas Cowboys,Kansas City Chiefs,NFL playoff picture,Ecuador,Rickey Smiley,Lipid,Penn State football,Doc Rivers,Dexter King,Super Bowl,Pete Carroll
14,2019-04-14,Alabama vs Michigan,Jim Harbaugh,Dallas Cowboys,"Perry, Iowa",Adan Canto,Vince McMahon,Powerball,Adam Harrison,Ohio State football,New Year's Day,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Oscar nominations 2024,Nick Saban retiring,Super Bowl 2024,Doc Rivers,Lipid,Pete Carroll,Ecuador,Super Bowl,Penn State football,Dexter King,Rickey Smiley,NFL playoff picture
15,2019-04-21,Jim Harbaugh,Kansas City Chiefs,Alabama vs Michigan,New Year's Day,Oscar nominations 2024,Powerball,Dallas Cowboys,Jason Kelce retire,"Perry, Iowa",Adan Canto,Nick Saban retiring,NFL Games Today,Vince McMahon,Ohio State football,Adam Harrison,Super Bowl 2024,NFL playoff picture,Ecuador,Dexter King,Penn State football,Lipid,Rickey Smiley,Doc Rivers,Super Bowl,Pete Carroll
16,2019-04-28,Adam Harrison,NFL Games Today,Jim Harbaugh,Jason Kelce retire,Ohio State football,New Year's Day,Adan Canto,Kansas City Chiefs,Powerball,Oscar nominations 2024,Alabama vs Michigan,Nick Saban retiring,"Perry, Iowa",Dallas Cowboys,Vince McMahon,Super Bowl 2024,Rickey Smiley,Dexter King,Ecuador,Pete Carroll,NFL playoff picture,Doc Rivers,Super Bowl,Penn State football,Lipid
17,2019-05-05,Kansas City Chiefs,Powerball,Dallas Cowboys,Ohio State football,New Year's Day,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Super Bowl 2024,Vince McMahon,Adam Harrison,Jason Kelce retire,Nick Saban retiring,"Perry, Iowa",Oscar nominations 2024,Adan Canto,Dexter King,Pete Carroll,Rickey Smiley,Penn State football,Ecuador,Lipid,NFL playoff picture,Super Bowl,Doc Rivers
18,2019-05-12,Alabama vs Michigan,Kansas City Chiefs,Super Bowl 2024,Vince McMahon,Adam Harrison,New Year's Day,Oscar nominations 2024,Adan Canto,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Jason Kelce retire,Ohio State football,Powerball,NFL Games Today,Dallas Cowboys,Lipid,Ecuador,NFL playoff picture,Doc Rivers,Penn State football,Pete Carroll,Super Bowl,Rickey Smiley,Dexter King
19,2019-05-19,Adan Canto,Powerball,Ohio State football,Oscar nominations 2024,Adam Harrison,Alabama vs Michigan,"Perry, Iowa",Super Bowl 2024,Jim Harbaugh,New Year's Day,Kansas City Chiefs,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Vince McMahon,Jason Kelce retire,Pete Carroll,Penn State football,NFL playoff picture,Ecuador,Rickey Smiley,Dexter King,Doc Rivers,Lipid,Super Bowl
20,2019-05-26,Powerball,Jim Harbaugh,New Year's Day,Nick Saban retiring,NFL Games Today,Ohio State football,Jason Kelce retire,"Perry, Iowa",Kansas City Chiefs,Adan Canto,Alabama vs Michigan,Dallas Cowboys,Vince McMahon,Adam Harrison,Oscar nominations 2024,Super Bowl 2024,Dexter King,NFL playoff picture,Ecuador,Penn State football,Rickey Smiley,Pete Carroll,Super Bowl,Lipid,Doc Rivers
21,2019-06-02,New Year's Day,Alabama vs Michigan,"Perry, Iowa",Kansas City Chiefs,Ohio State football,Super Bowl 2024,Jim Harbaugh,Adan Canto,Jason Kelce retire,NFL Games Today,Oscar nominations 2024,Adam Harrison,Powerball,Vince McMahon,Nick Saban retiring,Dallas Cowboys,Dexter King,Ecuador,Super Bowl,Pete Carroll,Doc Rivers,Penn State football,Rickey Smiley,Lipid,NFL playoff picture
22,2019-06-09,Vince McMahon,Jason Kelce retire,Powerball,Ohio State football,Oscar nominations 2024,New Year's Day,"Perry, Iowa",Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Dallas Cowboys,Alabama vs Michigan,Adan Canto,Jim Harbaugh,Nick Saban retiring,NFL Games Today,Super Bowl,Dexter King,NFL playoff picture,Rickey Smiley,Penn State football,Pete Carroll,Ecuador,Doc Rivers,Lipid
23,2019-06-16,Ohio State football,"Perry, Iowa",Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Powerball,Vince McMahon,Adan Canto,Alabama vs Michigan,Adam Harrison,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,New Year's Day,Oscar nominations 2024,Super Bowl 2024,Doc Rivers,Rickey Smiley,Penn State football,Ecuador,Lipid,Super Bowl,Dexter King,Pete Carroll,NFL playoff picture
24,2019-06-23,Jason Kelce retire,"Perry, Iowa",Super Bowl 2024,New Year's Day,Powerball,Jim Harbaugh,Kansas City Chiefs,Vince McMahon,Adan Canto,Alabama vs Michigan,Ohio State football,Oscar nominations 2024,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Adam Harrison,Rickey Smiley,Doc Rivers,Lipid,Ecuador,Dexter King,Penn State football,Pete Carroll,NFL playoff picture,Super Bowl
25,2019-06-30,Super Bowl 2024,Kansas City Chiefs,Vince McMahon,Adam Harrison,Adan Canto,Dallas Cowboys,Powerball,"Perry, Iowa",Nick Saban retiring,NFL Games Today,Ohio State football,Alabama vs Michigan,Jason Kelce retire,Oscar nominations 2024,New Year's Day,Jim Harbaugh,Dexter King,Penn State football,NFL playoff picture,Doc Rivers,Pete Carroll,Ecuador,Lipid,Super Bowl,Rickey Smiley
26,2019-07-07,Dallas Cowboys,Jim Harbaugh,Super Bowl 2024,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Adam Harrison,Vince McMahon,NFL Games Today,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,New Year's Day,Powerball,Adan Canto,Oscar nominations 2024,Dexter King,NFL playoff picture,Pete Carroll,Super Bowl,Penn State football,Doc Rivers,Ecuador,Rickey Smiley,Lipid
27,2019-07-14,Ohio State football,Alabama vs Michigan,"Perry, Iowa",Powerball,Kansas City Chiefs,Dallas Cowboys,Jim Harbaugh,Nick Saban retiring,New Year's Day,Oscar nominations 2024,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,NFL Games Today,Jason Kelce retire,Rickey Smiley,Dexter King,Ecuador,NFL playoff picture,Doc Rivers,Lipid,Penn State football,Super Bowl,Pete Carroll
28,2019-07-21,Jason Kelce retire,Powerball,Nick Saban retiring,Ohio State football,Oscar nominations 2024,Adan Canto,Dallas Cowboys,"Perry, Iowa",New Year's Day,Kansas City Chiefs,Alabama vs Michigan,Super Bowl 2024,Adam Harrison,Vince McMahon,NFL Games Today,Jim Harbaugh,Dexter King,Penn State football,Ecuador,Doc Rivers,Lipid,Rickey Smiley,NFL playoff picture,Super Bowl,Pete Carroll
29,2019-07-28,Nick Saban retiring,Jim Harbaugh,Kansas City Chiefs,"Perry, Iowa",Adam Harrison,Super Bowl 2024,Oscar nominations 2024,Jason Kelce retire,Powerball,New Year's Day,Alabama vs Michigan,NFL Games Today,Dallas Cowboys,Vince McMahon,Adan Canto,Ohio State football,Ecuador,Penn State football,Pete Carroll,Super Bowl,Rickey Smiley,Lipid,Dexter King,Doc Rivers,NFL playoff picture
30,2019-08-04,Ohio State football,NFL Games Today,Powerball,New Year's Day,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Oscar nominations 2024,Adan Canto,Jason Kelce retire,"Perry, Iowa",Jim Harbaugh,Alabama vs Michigan,Dallas Cowboys,Nick Saban retiring,Vince McMahon,Rickey Smiley,Ecuador,Lipid,Doc Rivers,Penn State football,NFL playoff picture,Dexter King,Pete Carroll,Super Bowl
31,2019-08-11,Powerball,Oscar nominations 2024,Jim Harbaugh,"Perry, Iowa",New Year's Day,Ohio State football,NFL Games Today,Dallas Cowboys,Adam Harrison,Adan Canto,Vince McMahon,Super Bowl 2024,Nick Saban retiring,Jason Kelce retire,Alabama vs Michigan,Kansas City Chiefs,Penn State football,NFL playoff picture,Ecuador,Doc Rivers,Dexter King,Pete Carroll,Rickey Smiley,Lipid,Super Bowl
32,2019-08-18,Nick Saban retiring,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,Adam Harrison,Oscar nominations 2024,Adan Canto,Dallas Cowboys,NFL Games Today,Powerball,Jim Harbaugh,Ohio State football,New Year's Day,Super Bowl 2024,Vince McMahon,Ecuador,Rickey Smiley,Pete Carroll,Doc Rivers,Super Bowl,Penn State football,Lipid,NFL playoff picture,Dexter King
33,2019-08-25,Powerball,Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Jim Harbaugh,Ohio State football,Oscar nominations 2024,"Perry, Iowa",New Year's Day,Nick Saban retiring,Vince McMahon,Adan Canto,Alabama vs Michigan,Super Bowl 2024,Adam Harrison,Dallas Cowboys,Ecuador,Dexter King,Doc Rivers,Super Bowl,Rickey Smiley,Penn State football,Pete Carroll,Lipid,NFL playoff picture
34,2019-09-01,Oscar nominations 2024,Vince McMahon,Alabama vs Michigan,NFL Games Today,Adan Canto,Jim Harbaugh,Kansas City Chiefs,Ohio State football,Dallas Cowboys,Super Bowl 2024,Powerball,"Perry, Iowa",Adam Harrison,New Year's Day,Nick Saban retiring,Jason Kelce retire,Doc Rivers,Ecuador,Rickey Smiley,NFL playoff picture,Dexter King,Lipid,Penn State football,Super Bowl,Pete Carroll
35,2019-09-08,Jason Kelce retire,Nick Saban retiring,Ohio State football,NFL Games Today,Kansas City Chiefs,Dallas Cowboys,"Perry, Iowa",Powerball,New Year's Day,Adan Canto,Super Bowl 2024,Alabama vs Michigan,Oscar nominations 2024,Vince McMahon,Jim Harbaugh,Adam Harrison,Penn State football,Rickey Smiley,Ecuador,NFL playoff picture,Super Bowl,Dexter King,Doc Rivers,Lipid,Pete Carroll
36,2019-09-15,"Perry, Iowa",Jason Kelce retire,Powerball,NFL Games Today,Vince McMahon,New Year's Day,Dallas Cowboys,Oscar nominations 2024,Adan Canto,Ohio State football,Super Bowl 2024,Nick Saban retiring,Adam Harrison,Alabama vs Michigan,Kansas City Chiefs,Jim Harbaugh,NFL playoff picture,Rickey Smiley,Penn State football,Lipid,Super Bowl,Dexter King,Doc Rivers,Ecuador,Pete Carroll
37,2019-09-22,Vince McMahon,New Year's Day,Ohio State football,"Perry, Iowa",Adan Canto,NFL Games Today,Super Bowl 2024,Nick Saban retiring,Oscar nominations 2024,Dallas Cowboys,Powerball,Kansas City Chiefs,Jim Harbaugh,Alabama vs Michigan,Jason Kelce retire,Adam Harrison,Doc Rivers,Rickey Smiley,Pete Carroll,Ecuador,NFL playoff picture,Penn State football,Lipid,Dexter King,Super Bowl
38,2019-09-29,"Perry, Iowa",Jim Harbaugh,Kansas City Chiefs,Adam Harrison,Vince McMahon,Powerball,Alabama vs Michigan,Jason Kelce retire,Dallas Cowboys,Oscar nominations 2024,Adan Canto,New Year's Day,NFL Games Today,Ohio State football,Nick Saban retiring,Super Bowl 2024,Super Bowl,Rickey Smiley,Lipid,Ecuador,Dexter King,Penn State football,Doc Rivers,Pete Carroll,NFL playoff picture
39,2019-10-06,Ohio State football,Adan Canto,NFL Games Today,Vince McMahon,New Year's Day,Nick Saban retiring,Dallas Cowboys,Super Bowl 2024,Oscar nominations 2024,Alabama vs Michigan,Kansas City Chiefs,Jason Kelce retire,Adam Harrison,Powerball,"Perry, Iowa",Jim Harbaugh,Lipid,Ecuador,NFL playoff picture,Super Bowl,Dexter King,Pete Carroll,Rickey Smiley,Doc Rivers,Penn State football
40,2019-10-13,New Year's Day,Alabama vs Michigan,Powerball,Vince McMahon,Oscar nominations 2024,Kansas City Chiefs,Jason Kelce retire,Ohio State football,Dallas Cowboys,Adan Canto,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Adam Harrison,NFL Games Today,Super Bowl 2024,Super Bowl,Pete Carroll,Penn State football,Dexter King,Doc Rivers,Ecuador,NFL playoff picture,Rickey Smiley,Lipid
41,2019-10-20,Jason Kelce retire,Super Bowl 2024,Vince McMahon,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,NFL Games Today,"Perry, Iowa",Nick Saban retiring,Jim Harbaugh,Ohio State football,Adam Harrison,Adan Canto,Powerball,Oscar nominations 2024,Dallas Cowboys,Dexter King,Rickey Smiley,Penn State football,Doc Rivers,Ecuador,Lipid,Pete Carroll,Super Bowl,NFL playoff picture
42,2019-10-27,Powerball,New Year's Day,Jim Harbaugh,Oscar nominations 2024,Ohio State football,Adan Canto,NFL Games Today,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Super Bowl 2024,Adam Harrison,Vince McMahon,Nick Saban retiring,Jason Kelce retire,Doc Rivers,Penn State football,Ecuador,Dexter King,Lipid,Pete Carroll,Super Bowl,NFL playoff picture,Rickey Smiley
43,2019-11-03,Powerball,Oscar nominations 2024,Jim Harbaugh,Ohio State football,NFL Games Today,"Perry, Iowa",New Year's Day,Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,Nick Saban retiring,Dallas Cowboys,Jason Kelce retire,Adan Canto,Vince McMahon,Pete Carroll,Ecuador,Super Bowl,Dexter King,Penn State football,NFL playoff picture,Rickey Smiley,Doc Rivers,Lipid
44,2019-11-10,Vince McMahon,Ohio State football,New Year's Day,"Perry, Iowa",Dallas Cowboys,Adan Canto,Powerball,Super Bowl 2024,Oscar nominations 2024,Jason Kelce retire,Adam Harrison,Nick Saban retiring,Kansas City Chiefs,Jim Harbaugh,NFL Games Today,Alabama vs Michigan,Super Bowl,Ecuador,Dexter King,Doc Rivers,Rickey Smiley,NFL playoff picture,Penn State football,Pete Carroll,Lipid
45,2019-11-17,Kansas City Chiefs,Jason Kelce retire,Powerball,Ohio State football,Adan Canto,New Year's Day,Oscar nominations 2024,Alabama vs Michigan,Vince McMahon,Super Bowl 2024,NFL Games Today,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,"Perry, Iowa",Adam Harrison,Dexter King,NFL playoff picture,Doc Rivers,Penn State football,Rickey Smiley,Lipid,Pete Carroll,Super Bowl,Ecuador
46,2019-11-24,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Powerball,Alabama vs Michigan,NFL Games Today,Oscar nominations 2024,"Perry, Iowa",Adan Canto,Jim Harbaugh,Dallas Cowboys,Adam Harrison,Jason Kelce retire,New Year's Day,Super Bowl 2024,Vince McMahon,Rickey Smiley,Super Bowl,Doc Rivers,Dexter King,Penn State football,NFL playoff picture,Ecuador,Lipid,Pete Carroll
47,2019-12-01,"Perry, Iowa",New Year's Day,Adan Canto,Ohio State football,Jason Kelce retire,Vince McMahon,Super Bowl 2024,Powerball,Alabama vs Michigan,Adam Harrison,Dallas Cowboys,Jim Harbaugh,Kansas City Chiefs,Oscar nominations 2024,Nick Saban retiring,NFL Games Today,Ecuador,Penn State football,NFL playoff picture,Rickey Smiley,Lipid,Dexter King,Super Bowl,Pete Carroll,Doc Rivers
48,2019-12-08,Powerball,Vince McMahon,NFL Games Today,Nick Saban retiring,New Year's Day,Alabama vs Michigan,Jim Harbaugh,"Perry, Iowa",Ohio State football,Kansas City Chiefs,Dallas Cowboys,Jason Kelce retire,Adam Harrison,Oscar nominations 2024,Super Bowl 2024,Adan Canto,Rickey Smiley,Ecuador,Doc Rivers,Lipid,Pete Carroll,Penn State football,NFL playoff picture,Dexter King,Super Bowl
49,2019-12-15,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Vince McMahon,Powerball,Adam Harrison,NFL Games Today,Dallas Cowboys,"Perry, Iowa",Adan Canto,Jim Harbaugh,New Year's Day,Super Bowl 2024,Kansas City Chiefs,Oscar nominations 2024,Jason Kelce retire,Doc Rivers,NFL playoff picture,Super Bowl,Rickey Smiley,Ecuador,Penn State football,Lipid,Pete Carroll,Dexter King
50,2019-12-22,Super Bowl 2024,New Year's Day,Oscar nominations 2024,Jason Kelce retire,Powerball,Ohio State football,"Perry, Iowa",Nick Saban retiring,Dallas Cowboys,Vince McMahon,Adam Harrison,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Adan Canto,Kansas City Chiefs,Penn State football,Super Bowl,Doc Rivers,Dexter King,Lipid,Rickey Smiley,Ecuador,Pete Carroll,NFL playoff picture
51,2019-12-29,New Year's Day,Oscar nominations 2024,Jason Kelce retire,Alabama vs Michigan,Kansas City Chiefs,Vince McMahon,"Perry, Iowa",Adan Canto,Jim Harbaugh,Nick Saban retiring,Super Bowl 2024,NFL Games Today,Ohio State football,Powerball,Dallas Cowboys,Adam Harrison,Dexter King,Super Bowl,Penn State football,Doc Rivers,NFL playoff picture,Rickey Smiley,Pete Carroll,Lipid,Ecuador
52,2020-01-05,Powerball,Oscar nominations 2024,Adam Harrison,Super Bowl 2024,Adan Canto,Jason Kelce retire,Vince McMahon,NFL Games Today,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Nick Saban retiring,Kansas City Chiefs,Ohio State football,New Year's Day,Jim Harbaugh,Ecuador,Doc Rivers,Dexter King,Super Bowl,Lipid,Pete Carroll,Penn State football,NFL playoff picture,Rickey Smiley
53,2020-01-12,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,New Year's Day,Powerball,"Perry, Iowa",Super Bowl 2024,Dallas Cowboys,Vince McMahon,Jason Kelce retire,Adan Canto,Jim Harbaugh,NFL Games Today,Nick Saban retiring,Ohio State football,Oscar nominations 2024,Doc Rivers,Super Bowl,Penn State football,Pete Carroll,NFL playoff picture,Lipid,Rickey Smiley,Dexter King,Ecuador
54,2020-01-19,NFL Games Today,Alabama vs Michigan,Super Bowl 2024,Vince McMahon,Powerball,Adam Harrison,Adan Canto,"Perry, Iowa",Kansas City Chiefs,Jason Kelce retire,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,Oscar nominations 2024,Ohio State football,New Year's Day,NFL playoff picture,Ecuador,Rickey Smiley,Dexter King,Doc Rivers,Pete Carroll,Lipid,Penn State football,Super Bowl
55,2020-01-26,Alabama vs Michigan,Adan Canto,Ohio State football,Kansas City Chiefs,Powerball,Oscar nominations 2024,Jim Harbaugh,"Perry, Iowa",Adam Harrison,Nick Saban retiring,Dallas Cowboys,Jason Kelce retire,NFL Games Today,Super Bowl 2024,Vince McMahon,New Year's Day,Ecuador,Super Bowl,Rickey Smiley,Penn State football,Pete Carroll,Lipid,Doc Rivers,NFL playoff picture,Dexter King
56,2020-02-02,Alabama vs Michigan,Super Bowl 2024,Dallas Cowboys,"Perry, Iowa",NFL Games Today,New Year's Day,Vince McMahon,Jim Harbaugh,Oscar nominations 2024,Jason Kelce retire,Adam Harrison,Powerball,Kansas City Chiefs,Ohio State football,Nick Saban retiring,Adan Canto,Lipid,Pete Carroll,Ecuador,Doc Rivers,Dexter King,NFL playoff picture,Super Bowl,Rickey Smiley,Penn State football
57,2020-02-09,Vince McMahon,Dallas Cowboys,Adan Canto,Kansas City Chiefs,Nick Saban retiring,Jim Harbaugh,Powerball,Oscar nominations 2024,Ohio State football,Alabama vs Michigan,Jason Kelce retire,Super Bowl 2024,"Perry, Iowa",Adam Harrison,NFL Games Today,New Year's Day,Penn State football,Pete Carroll,Dexter King,Doc Rivers,Ecuador,NFL playoff picture,Super Bowl,Rickey Smiley,Lipid
58,2020-02-16,Adam Harrison,Powerball,NFL Games Today,Oscar nominations 2024,Vince McMahon,Alabama vs Michigan,Dallas Cowboys,Kansas City Chiefs,Super Bowl 2024,Nick Saban retiring,"Perry, Iowa",Adan Canto,Jason Kelce retire,Jim Harbaugh,Ohio State football,New Year's Day,Rickey Smiley,Pete Carroll,Lipid,Dexter King,Doc Rivers,Super Bowl,Ecuador,NFL playoff picture,Penn State football
59,2020-02-23,Vince McMahon,Ohio State football,Kansas City Chiefs,Super Bowl 2024,New Year's Day,Oscar nominations 2024,"Perry, Iowa",NFL Games Today,Powerball,Dallas Cowboys,Nick Saban retiring,Adan Canto,Jason Kelce retire,Alabama vs Michigan,Jim Harbaugh,Adam Harrison,Penn State football,Dexter King,NFL playoff picture,Lipid,Doc Rivers,Pete Carroll,Ecuador,Super Bowl,Rickey Smiley
60,2020-03-01,Alabama vs Michigan,NFL Games Today,Jim Harbaugh,Vince McMahon,"Perry, Iowa",Super Bowl 2024,New Year's Day,Powerball,Ohio State football,Nick Saban retiring,Jason Kelce retire,Dallas Cowboys,Oscar nominations 2024,Adam Harrison,Kansas City Chiefs,Adan Canto,Super Bowl,Ecuador,Doc Rivers,Pete Carroll,Lipid,Penn State football,NFL playoff picture,Dexter King,Rickey Smiley
61,2020-03-08,Oscar nominations 2024,NFL Games Today,Nick Saban retiring,Kansas City Chiefs,Dallas Cowboys,Adam Harrison,Vince McMahon,"Perry, Iowa",Adan Canto,Jim Harbaugh,Ohio State football,Super Bowl 2024,Alabama vs Michigan,Powerball,New Year's Day,Jason Kelce retire,Pete Carroll,Super Bowl,Rickey Smiley,Doc Rivers,Ecuador,NFL playoff picture,Lipid,Penn State football,Dexter King
62,2020-03-15,Jim Harbaugh,Adan Canto,NFL Games Today,Jason Kelce retire,New Year's Day,Super Bowl 2024,Kansas City Chiefs,Powerball,Vince McMahon,Oscar nominations 2024,Alabama vs Michigan,Ohio State football,Dallas Cowboys,Adam Harrison,Nick Saban retiring,"Perry, Iowa",Pete Carroll,Doc Rivers,Ecuador,Dexter King,Penn State football,Lipid,Super Bowl,NFL playoff picture,Rickey Smiley
63,2020-03-22,Jim Harbaugh,New Year's Day,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Nick Saban retiring,Jason Kelce retire,Dallas Cowboys,NFL Games Today,Powerball,Adam Harrison,Adan Canto,Super Bowl 2024,Vince McMahon,Oscar nominations 2024,Ohio State football,Penn State football,Pete Carroll,Rickey Smiley,Lipid,Super Bowl,Doc Rivers,Ecuador,NFL playoff picture,Dexter King
