week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2020-01-12,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,New Year's Day,Powerball,"Perry, Iowa",Super Bowl 2024,Dallas Cowboys,Vince McMahon,Jason Kelce retire,Adan Canto,Jim Harbaugh,NFL Games Today,Nick Saban retiring,Ohio State football,Oscar nominations 2024,Doc Rivers,Super Bowl,Penn State football,Pete Carroll,NFL playoff picture,Lipid,Rickey Smiley,Dexter King,Ecuador,3271.1298828125,3329.8798828125,3268.429931640625,3329.6201171875,18135300000,64.27001953125
2020-01-19,NFL Games Today,Alabama vs Michigan,Super Bowl 2024,Vince McMahon,Powerball,Adam Harrison,Adan Canto,"Perry, Iowa",Kansas City Chiefs,Jason Kelce retire,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,Oscar nominations 2024,Ohio State football,New Year's Day,NFL playoff picture,Ecuador,Rickey Smiley,Dexter King,Doc Rivers,Pete Carroll,Lipid,Penn State football,Super Bowl,3321.030029296875,3337.77001953125,3281.530029296875,3295.469970703125,15204110000,-34.150146484375
2020-01-26,Alabama vs Michigan,Adan Canto,Ohio State football,Kansas City Chiefs,Powerball,Oscar nominations 2024,Jim Harbaugh,"Perry, Iowa",Adam Harrison,Nick Saban retiring,Dallas Cowboys,Jason Kelce retire,NFL Games Today,Super Bowl 2024,Vince McMahon,New Year's Day,Ecuador,Super Bowl,Rickey Smiley,Penn State football,Pete Carroll,Lipid,Doc Rivers,NFL playoff picture,Dexter King,3247.159912109375,3293.469970703125,3214.679931640625,3225.52001953125,19282920000,-69.949951171875
2020-02-02,Alabama vs Michigan,Super Bowl 2024,Dallas Cowboys,"Perry, Iowa",NFL Games Today,New Year's Day,Vince McMahon,Jim Harbaugh,Oscar nominations 2024,Jason Kelce retire,Adam Harrison,Powerball,Kansas City Chiefs,Ohio State football,Nick Saban retiring,Adan Canto,Lipid,Pete Carroll,Ecuador,Doc Rivers,Dexter King,NFL playoff picture,Super Bowl,Rickey Smiley,Penn State football,3235.659912109375,3347.9599609375,3235.659912109375,3327.7099609375,19500010000,102.18994140625
2020-02-09,Vince McMahon,Dallas Cowboys,Adan Canto,Kansas City Chiefs,Nick Saban retiring,Jim Harbaugh,Powerball,Oscar nominations 2024,Ohio State football,Alabama vs Michigan,Jason Kelce retire,Super Bowl 2024,"Perry, Iowa",Adam Harrison,NFL Games Today,New Year's Day,Penn State football,Pete Carroll,Dexter King,Doc Rivers,Ecuador,NFL playoff picture,Super Bowl,Rickey Smiley,Lipid,3318.280029296875,3385.090087890625,3317.77001953125,3380.159912109375,18077170000,52.449951171875
2020-02-16,Adam Harrison,Powerball,NFL Games Today,Oscar nominations 2024,Vince McMahon,Alabama vs Michigan,Dallas Cowboys,Kansas City Chiefs,Super Bowl 2024,Nick Saban retiring,"Perry, Iowa",Adan Canto,Jason Kelce retire,Jim Harbaugh,Ohio State football,New Year's Day,Rickey Smiley,Pete Carroll,Lipid,Dexter King,Doc Rivers,Super Bowl,Ecuador,NFL playoff picture,Penn State football,3369.0400390625,3393.52001953125,3328.449951171875,3337.75,15292560000,-42.409912109375
2020-02-23,Vince McMahon,Ohio State football,Kansas City Chiefs,Super Bowl 2024,New Year's Day,Oscar nominations 2024,"Perry, Iowa",NFL Games Today,Powerball,Dallas Cowboys,Nick Saban retiring,Adan Canto,Jason Kelce retire,Alabama vs Michigan,Jim Harbaugh,Adam Harrison,Penn State football,Dexter King,NFL playoff picture,Lipid,Doc Rivers,Pete Carroll,Ecuador,Super Bowl,Rickey Smiley,3257.610107421875,3259.81005859375,2855.840087890625,2954.219970703125,31566850000,-383.530029296875
2020-03-01,Alabama vs Michigan,NFL Games Today,Jim Harbaugh,Vince McMahon,"Perry, Iowa",Super Bowl 2024,New Year's Day,Powerball,Ohio State football,Nick Saban retiring,Jason Kelce retire,Dallas Cowboys,Oscar nominations 2024,Adam Harrison,Kansas City Chiefs,Adan Canto,Super Bowl,Ecuador,Doc Rivers,Pete Carroll,Lipid,Penn State football,NFL playoff picture,Dexter King,Rickey Smiley,2974.280029296875,3136.719970703125,2901.5400390625,2972.3701171875,29965390000,18.150146484375
2020-03-08,Oscar nominations 2024,NFL Games Today,Nick Saban retiring,Kansas City Chiefs,Dallas Cowboys,Adam Harrison,Vince McMahon,"Perry, Iowa",Adan Canto,Jim Harbaugh,Ohio State football,Super Bowl 2024,Alabama vs Michigan,Powerball,New Year's Day,Jason Kelce retire,Pete Carroll,Super Bowl,Rickey Smiley,Doc Rivers,Ecuador,NFL playoff picture,Lipid,Penn State football,Dexter King,2863.889892578125,2882.590087890625,2478.860107421875,2711.02001953125,40664410000,-261.35009765625
2020-03-15,Jim Harbaugh,Adan Canto,NFL Games Today,Jason Kelce retire,New Year's Day,Super Bowl 2024,Kansas City Chiefs,Powerball,Vince McMahon,Oscar nominations 2024,Alabama vs Michigan,Ohio State football,Dallas Cowboys,Adam Harrison,Nick Saban retiring,"Perry, Iowa",Pete Carroll,Doc Rivers,Ecuador,Dexter King,Penn State football,Lipid,Super Bowl,NFL playoff picture,Rickey Smiley,2508.590087890625,2562.97998046875,2280.52001953125,2304.919921875,41985050000,-406.10009765625
2020-03-22,Jim Harbaugh,New Year's Day,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Nick Saban retiring,Jason Kelce retire,Dallas Cowboys,NFL Games Today,Powerball,Adam Harrison,Adan Canto,Super Bowl 2024,Vince McMahon,Oscar nominations 2024,Ohio State football,Penn State football,Pete Carroll,Rickey Smiley,Lipid,Super Bowl,Doc Rivers,Ecuador,NFL playoff picture,Dexter King,2290.7099609375,2637.010009765625,2191.860107421875,2541.469970703125,37243200000,236.550048828125
2020-03-29,Super Bowl 2024,Oscar nominations 2024,Powerball,"Perry, Iowa",Kansas City Chiefs,Dallas Cowboys,NFL Games Today,Jason Kelce retire,Adam Harrison,Ohio State football,Alabama vs Michigan,Jim Harbaugh,Vince McMahon,New Year's Day,Nick Saban retiring,Adan Canto,Lipid,Rickey Smiley,Dexter King,Ecuador,Penn State football,Doc Rivers,Pete Carroll,Super Bowl,NFL playoff picture,2558.97998046875,2641.389892578125,2447.489990234375,2488.64990234375,30852490000,-52.820068359375
2020-04-05,Adan Canto,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Ohio State football,Super Bowl 2024,Dallas Cowboys,Powerball,"Perry, Iowa",Adam Harrison,Jim Harbaugh,Nick Saban retiring,Oscar nominations 2024,Vince McMahon,Ecuador,Super Bowl,Doc Rivers,NFL playoff picture,Rickey Smiley,Lipid,Pete Carroll,Dexter King,Penn State football,2578.280029296875,2818.570068359375,2574.570068359375,2789.820068359375,27229510000,301.170166015625
2020-04-12,Oscar nominations 2024,Jason Kelce retire,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Adan Canto,"Perry, Iowa",Jim Harbaugh,Dallas Cowboys,Kansas City Chiefs,Adam Harrison,NFL Games Today,Super Bowl 2024,Powerball,Vince McMahon,New Year's Day,Pete Carroll,Doc Rivers,Super Bowl,NFL playoff picture,Lipid,Penn State football,Ecuador,Rickey Smiley,Dexter King,2782.4599609375,2879.219970703125,2721.169921875,2874.56005859375,27176880000,84.739990234375
2020-04-19,Dallas Cowboys,Super Bowl 2024,"Perry, Iowa",Adan Canto,Ohio State football,NFL Games Today,Vince McMahon,Alabama vs Michigan,Oscar nominations 2024,Kansas City Chiefs,Powerball,Nick Saban retiring,Jim Harbaugh,New Year's Day,Jason Kelce retire,Adam Harrison,Doc Rivers,Lipid,Pete Carroll,Super Bowl,Penn State football,NFL playoff picture,Ecuador,Dexter King,Rickey Smiley,2845.6201171875,2868.97998046875,2727.10009765625,2836.739990234375,26590900000,-37.820068359375
2020-04-26,NFL Games Today,Kansas City Chiefs,"Perry, Iowa",Super Bowl 2024,Vince McMahon,Nick Saban retiring,Jim Harbaugh,Oscar nominations 2024,Adan Canto,Adam Harrison,Powerball,Dallas Cowboys,Jason Kelce retire,New Year's Day,Alabama vs Michigan,Ohio State football,Pete Carroll,Super Bowl,NFL playoff picture,Doc Rivers,Lipid,Penn State football,Rickey Smiley,Ecuador,Dexter King,2854.64990234375,2954.860107421875,2821.610107421875,2830.7099609375,28845520000,-6.030029296875
2020-05-03,Dallas Cowboys,Ohio State football,"Perry, Iowa",NFL Games Today,Vince McMahon,New Year's Day,Powerball,Nick Saban retiring,Oscar nominations 2024,Kansas City Chiefs,Super Bowl 2024,Jason Kelce retire,Adam Harrison,Adan Canto,Alabama vs Michigan,Jim Harbaugh,Pete Carroll,Rickey Smiley,Dexter King,Lipid,Penn State football,NFL playoff picture,Super Bowl,Doc Rivers,Ecuador,2815.010009765625,2932.159912109375,2797.85009765625,2929.800048828125,24823610000,99.090087890625
2020-05-10,Alabama vs Michigan,Jim Harbaugh,Vince McMahon,Jason Kelce retire,"Perry, Iowa",Adan Canto,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Oscar nominations 2024,NFL Games Today,Dallas Cowboys,Powerball,Super Bowl 2024,New Year's Day,Adam Harrison,Penn State football,Lipid,NFL playoff picture,Rickey Smiley,Dexter King,Pete Carroll,Super Bowl,Ecuador,Doc Rivers,2915.4599609375,2945.820068359375,2766.639892578125,2863.699951171875,27249840000,-66.10009765625
2020-05-17,Powerball,Alabama vs Michigan,Super Bowl 2024,Jim Harbaugh,NFL Games Today,Jason Kelce retire,Kansas City Chiefs,New Year's Day,Ohio State football,Nick Saban retiring,Adan Canto,Adam Harrison,Oscar nominations 2024,Vince McMahon,Dallas Cowboys,"Perry, Iowa",Rickey Smiley,Pete Carroll,Super Bowl,Lipid,Ecuador,NFL playoff picture,Penn State football,Doc Rivers,Dexter King,2913.860107421875,2980.2900390625,2913.860107421875,2955.449951171875,25310860000,91.75
2020-05-24,Alabama vs Michigan,"Perry, Iowa",NFL Games Today,Jim Harbaugh,Nick Saban retiring,Jason Kelce retire,Adan Canto,Dallas Cowboys,Ohio State football,Super Bowl 2024,Kansas City Chiefs,New Year's Day,Oscar nominations 2024,Powerball,Adam Harrison,Vince McMahon,Rickey Smiley,NFL playoff picture,Doc Rivers,Dexter King,Penn State football,Super Bowl,Ecuador,Lipid,Pete Carroll,3004.080078125,3068.669921875,2969.75,3044.31005859375,24991070000,88.860107421875
2020-05-31,NFL Games Today,"Perry, Iowa",Adan Canto,New Year's Day,Kansas City Chiefs,Vince McMahon,Powerball,Super Bowl 2024,Jim Harbaugh,Oscar nominations 2024,Jason Kelce retire,Alabama vs Michigan,Ohio State football,Nick Saban retiring,Adam Harrison,Dallas Cowboys,Lipid,Doc Rivers,Rickey Smiley,Super Bowl,Ecuador,Penn State football,Dexter King,Pete Carroll,NFL playoff picture,3038.780029296875,3211.719970703125,3031.5400390625,3193.929931640625,30977470000,149.619873046875
2020-06-07,Super Bowl 2024,Dallas Cowboys,Alabama vs Michigan,New Year's Day,Nick Saban retiring,Ohio State football,Vince McMahon,Powerball,Oscar nominations 2024,Jim Harbaugh,Kansas City Chiefs,Adan Canto,NFL Games Today,Jason Kelce retire,"Perry, Iowa",Adam Harrison,Pete Carroll,Doc Rivers,Rickey Smiley,Penn State football,NFL playoff picture,Lipid,Dexter King,Ecuador,Super Bowl,3199.919921875,3233.1298828125,2984.469970703125,3041.31005859375,34390750000,-152.619873046875
2020-06-14,Dallas Cowboys,Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Ohio State football,Adam Harrison,Jim Harbaugh,New Year's Day,Adan Canto,Nick Saban retiring,Oscar nominations 2024,Powerball,"Perry, Iowa",Vince McMahon,Alabama vs Michigan,Super Bowl 2024,Super Bowl,Lipid,Ecuador,Penn State football,Doc Rivers,Pete Carroll,Dexter King,NFL playoff picture,Rickey Smiley,2993.760009765625,3155.530029296875,2965.659912109375,3097.739990234375,28959080000,56.429931640625
2020-06-21,New Year's Day,Dallas Cowboys,Adan Canto,Nick Saban retiring,Super Bowl 2024,NFL Games Today,Kansas City Chiefs,Ohio State football,Jim Harbaugh,Jason Kelce retire,Powerball,Vince McMahon,Adam Harrison,Alabama vs Michigan,Oscar nominations 2024,"Perry, Iowa",Pete Carroll,Dexter King,Penn State football,Doc Rivers,Rickey Smiley,Ecuador,Super Bowl,Lipid,NFL playoff picture,3094.419921875,3154.89990234375,3004.6298828125,3009.050048828125,27951760000,-88.68994140625
2020-06-28,Alabama vs Michigan,Kansas City Chiefs,Dallas Cowboys,Adan Canto,Jim Harbaugh,Jason Kelce retire,Powerball,Vince McMahon,Oscar nominations 2024,Super Bowl 2024,"Perry, Iowa",Nick Saban retiring,NFL Games Today,New Year's Day,Adam Harrison,Ohio State football,Pete Carroll,NFL playoff picture,Super Bowl,Doc Rivers,Rickey Smiley,Penn State football,Lipid,Dexter King,Ecuador,3018.590087890625,3165.81005859375,2999.739990234375,3130.010009765625,17826770000,120.9599609375
2020-07-05,New Year's Day,Dallas Cowboys,Kansas City Chiefs,Nick Saban retiring,Super Bowl 2024,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Adan Canto,Oscar nominations 2024,Adam Harrison,"Perry, Iowa",Jason Kelce retire,Vince McMahon,Powerball,Ohio State football,Super Bowl,Lipid,Rickey Smiley,NFL playoff picture,Pete Carroll,Ecuador,Penn State football,Dexter King,Doc Rivers,3155.2900390625,3186.820068359375,3115.699951171875,3185.0400390625,23635640000,55.030029296875
2020-07-12,Powerball,Adam Harrison,Alabama vs Michigan,Nick Saban retiring,New Year's Day,Jim Harbaugh,Jason Kelce retire,Vince McMahon,Oscar nominations 2024,"Perry, Iowa",Super Bowl 2024,Dallas Cowboys,NFL Games Today,Adan Canto,Kansas City Chiefs,Ohio State football,Lipid,Penn State football,Super Bowl,Dexter King,Doc Rivers,Ecuador,Rickey Smiley,Pete Carroll,NFL playoff picture,3205.080078125,3238.280029296875,3127.659912109375,3224.72998046875,22082120000,39.68994140625
2020-07-19,Adam Harrison,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Adan Canto,Jim Harbaugh,"Perry, Iowa",Super Bowl 2024,Ohio State football,Alabama vs Michigan,Powerball,Nick Saban retiring,New Year's Day,Vince McMahon,Dallas Cowboys,Oscar nominations 2024,Pete Carroll,NFL playoff picture,Super Bowl,Ecuador,Rickey Smiley,Penn State football,Dexter King,Doc Rivers,Lipid,3224.2900390625,3279.989990234375,3200.050048828125,3215.6298828125,20789280000,-9.10009765625
2020-07-26,Vince McMahon,Powerball,Super Bowl 2024,Dallas Cowboys,Oscar nominations 2024,Ohio State football,"Perry, Iowa",Nick Saban retiring,Adan Canto,Kansas City Chiefs,New Year's Day,Jason Kelce retire,NFL Games Today,Alabama vs Michigan,Adam Harrison,Jim Harbaugh,Rickey Smiley,Pete Carroll,NFL playoff picture,Ecuador,Lipid,Penn State football,Dexter King,Doc Rivers,Super Bowl,3219.840087890625,3272.169921875,3204.1298828125,3271.1201171875,21774140000,55.490234375
2020-08-02,Kansas City Chiefs,Vince McMahon,NFL Games Today,Oscar nominations 2024,Super Bowl 2024,Jason Kelce retire,"Perry, Iowa",New Year's Day,Adam Harrison,Alabama vs Michigan,Nick Saban retiring,Powerball,Adan Canto,Ohio State football,Jim Harbaugh,Dallas Cowboys,Rickey Smiley,Dexter King,Doc Rivers,NFL playoff picture,Super Bowl,Penn State football,Lipid,Pete Carroll,Ecuador,3288.260009765625,3352.5400390625,3284.530029296875,3351.280029296875,21777340000,80.159912109375
2020-08-09,Powerball,Jim Harbaugh,Ohio State football,"Perry, Iowa",Super Bowl 2024,New Year's Day,Jason Kelce retire,Oscar nominations 2024,Adam Harrison,Dallas Cowboys,Adan Canto,Vince McMahon,Alabama vs Michigan,Nick Saban retiring,Kansas City Chiefs,NFL Games Today,Rickey Smiley,Lipid,NFL playoff picture,Pete Carroll,Ecuador,Super Bowl,Doc Rivers,Dexter King,Penn State football,3356.0400390625,3387.889892578125,3326.43994140625,3372.85009765625,19619500000,21.570068359375
2020-08-16,New Year's Day,Adam Harrison,Ohio State football,Vince McMahon,Jason Kelce retire,"Perry, Iowa",Kansas City Chiefs,Alabama vs Michigan,Super Bowl 2024,Powerball,Oscar nominations 2024,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,Adan Canto,NFL Games Today,Super Bowl,Dexter King,Penn State football,Lipid,Pete Carroll,Rickey Smiley,Doc Rivers,Ecuador,NFL playoff picture,3380.860107421875,3399.9599609375,3354.68994140625,3397.159912109375,17745410000,24.309814453125
2020-08-23,Vince McMahon,Kansas City Chiefs,Adam Harrison,NFL Games Today,New Year's Day,Dallas Cowboys,"Perry, Iowa",Powerball,Jim Harbaugh,Oscar nominations 2024,Super Bowl 2024,Adan Canto,Jason Kelce retire,Nick Saban retiring,Alabama vs Michigan,Ohio State football,Penn State football,Rickey Smiley,Lipid,NFL playoff picture,Doc Rivers,Super Bowl,Ecuador,Pete Carroll,Dexter King,3418.090087890625,3509.22998046875,3413.1298828125,3508.010009765625,18975990000,110.85009765625
2020-08-30,Ohio State football,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Oscar nominations 2024,New Year's Day,Kansas City Chiefs,Jason Kelce retire,Adam Harrison,"Perry, Iowa",Vince McMahon,Super Bowl 2024,Powerball,Alabama vs Michigan,Jim Harbaugh,Adan Canto,Rickey Smiley,NFL playoff picture,Penn State football,Lipid,Super Bowl,Pete Carroll,Ecuador,Dexter King,Doc Rivers,3509.72998046875,3588.110107421875,3349.6298828125,3426.9599609375,22095960000,-81.050048828125
2020-09-06,Dallas Cowboys,Vince McMahon,New Year's Day,Ohio State football,Jason Kelce retire,Nick Saban retiring,Adam Harrison,NFL Games Today,Kansas City Chiefs,Powerball,"Perry, Iowa",Alabama vs Michigan,Jim Harbaugh,Oscar nominations 2024,Adan Canto,Super Bowl 2024,Ecuador,Pete Carroll,Lipid,Super Bowl,NFL playoff picture,Rickey Smiley,Doc Rivers,Dexter King,Penn State football,3371.8798828125,3425.550048828125,3310.469970703125,3340.969970703125,16545570000,-85.989990234375
2020-09-13,Kansas City Chiefs,Jason Kelce retire,Alabama vs Michigan,New Year's Day,Powerball,Dallas Cowboys,NFL Games Today,Ohio State football,Jim Harbaugh,Adam Harrison,Oscar nominations 2024,Vince McMahon,Nick Saban retiring,"Perry, Iowa",Adan Canto,Super Bowl 2024,Rickey Smiley,Ecuador,Penn State football,Pete Carroll,Doc Rivers,Super Bowl,NFL playoff picture,Lipid,Dexter King,3363.56005859375,3428.919921875,3292.39990234375,3319.469970703125,24071910000,-21.5
2020-09-20,Ohio State football,New Year's Day,Jason Kelce retire,Vince McMahon,Alabama vs Michigan,Super Bowl 2024,Oscar nominations 2024,Adan Canto,Kansas City Chiefs,NFL Games Today,Adam Harrison,Powerball,Dallas Cowboys,"Perry, Iowa",Jim Harbaugh,Nick Saban retiring,Penn State football,Dexter King,Doc Rivers,Lipid,Super Bowl,Pete Carroll,Rickey Smiley,NFL playoff picture,Ecuador,3285.570068359375,3323.35009765625,3209.449951171875,3298.4599609375,21594480000,-21.010009765625
2020-09-27,Ohio State football,Super Bowl 2024,NFL Games Today,Jim Harbaugh,Vince McMahon,Jason Kelce retire,Dallas Cowboys,Alabama vs Michigan,Kansas City Chiefs,Powerball,Adam Harrison,Adan Canto,Oscar nominations 2024,"Perry, Iowa",New Year's Day,Nick Saban retiring,Pete Carroll,Super Bowl,Rickey Smiley,NFL playoff picture,Doc Rivers,Lipid,Ecuador,Penn State football,Dexter King,3333.89990234375,3397.179931640625,3323.68994140625,3348.419921875,20402660000,49.9599609375
2020-10-04,Vince McMahon,Super Bowl 2024,"Perry, Iowa",Jim Harbaugh,Nick Saban retiring,Oscar nominations 2024,Adan Canto,Powerball,New Year's Day,Ohio State football,Jason Kelce retire,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,NFL Games Today,Dallas Cowboys,NFL playoff picture,Dexter King,Ecuador,Lipid,Rickey Smiley,Pete Carroll,Super Bowl,Doc Rivers,Penn State football,3367.27001953125,3482.340087890625,3354.5400390625,3477.139892578125,19772590000,128.719970703125
2020-10-11,Kansas City Chiefs,Alabama vs Michigan,Dallas Cowboys,Adan Canto,Ohio State football,Nick Saban retiring,Oscar nominations 2024,New Year's Day,Powerball,Super Bowl 2024,Vince McMahon,Adam Harrison,"Perry, Iowa",NFL Games Today,Jason Kelce retire,Jim Harbaugh,Pete Carroll,Super Bowl,Ecuador,Dexter King,Lipid,Rickey Smiley,NFL playoff picture,Doc Rivers,Penn State football,3500.02001953125,3549.85009765625,3440.889892578125,3483.81005859375,19317950000,6.670166015625
2020-10-18,"Perry, Iowa",Super Bowl 2024,Ohio State football,Alabama vs Michigan,Adan Canto,Vince McMahon,Nick Saban retiring,Kansas City Chiefs,Oscar nominations 2024,Jim Harbaugh,Jason Kelce retire,New Year's Day,Dallas Cowboys,Powerball,Adam Harrison,NFL Games Today,Rickey Smiley,Pete Carroll,Penn State football,NFL playoff picture,Lipid,Super Bowl,Dexter King,Ecuador,Doc Rivers,3493.659912109375,3502.419921875,3415.340087890625,3465.389892578125,19936550000,-18.420166015625
2020-10-25,Vince McMahon,Nick Saban retiring,Jim Harbaugh,Super Bowl 2024,Ohio State football,Alabama vs Michigan,Dallas Cowboys,Kansas City Chiefs,New Year's Day,Adan Canto,Powerball,Adam Harrison,Oscar nominations 2024,NFL Games Today,Jason Kelce retire,"Perry, Iowa",Lipid,Rickey Smiley,NFL playoff picture,Super Bowl,Dexter King,Ecuador,Penn State football,Pete Carroll,Doc Rivers,3441.419921875,3441.419921875,3233.93994140625,3269.9599609375,22860370000,-195.429931640625
2020-11-01,Super Bowl 2024,Alabama vs Michigan,Kansas City Chiefs,Ohio State football,Vince McMahon,Adan Canto,Jason Kelce retire,"Perry, Iowa",Powerball,Nick Saban retiring,NFL Games Today,Oscar nominations 2024,Jim Harbaugh,Dallas Cowboys,Adam Harrison,New Year's Day,Doc Rivers,Super Bowl,NFL playoff picture,Rickey Smiley,Ecuador,Penn State football,Dexter King,Lipid,Pete Carroll,3296.199951171875,3529.050048828125,3279.739990234375,3509.43994140625,23047080000,239.47998046875
2020-11-08,Super Bowl 2024,Jason Kelce retire,Dallas Cowboys,Alabama vs Michigan,Kansas City Chiefs,Adan Canto,New Year's Day,Adam Harrison,Ohio State football,Powerball,Vince McMahon,Jim Harbaugh,"Perry, Iowa",NFL Games Today,Oscar nominations 2024,Nick Saban retiring,Lipid,Dexter King,Penn State football,NFL playoff picture,Pete Carroll,Ecuador,Super Bowl,Doc Rivers,Rickey Smiley,3583.0400390625,3645.989990234375,3511.909912109375,3585.14990234375,28872780000,75.7099609375
2020-11-15,Kansas City Chiefs,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Jim Harbaugh,Super Bowl 2024,Powerball,Alabama vs Michigan,Ohio State football,Adam Harrison,Vince McMahon,Oscar nominations 2024,Jason Kelce retire,New Year's Day,"Perry, Iowa",Adan Canto,Doc Rivers,Pete Carroll,Rickey Smiley,Super Bowl,Ecuador,Dexter King,NFL playoff picture,Penn State football,Lipid,3600.159912109375,3628.510009765625,3543.840087890625,3557.5400390625,23992240000,-27.60986328125
2020-11-22,New Year's Day,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Super Bowl 2024,NFL Games Today,Kansas City Chiefs,Adam Harrison,Oscar nominations 2024,Powerball,Jim Harbaugh,Jason Kelce retire,Ohio State football,Adan Canto,Vince McMahon,Nick Saban retiring,Penn State football,Lipid,Dexter King,Doc Rivers,Rickey Smiley,Super Bowl,Pete Carroll,Ecuador,NFL playoff picture,3566.820068359375,3644.31005859375,3552.77001953125,3638.35009765625,19026670000,80.81005859375
2020-11-29,Adam Harrison,New Year's Day,Vince McMahon,Alabama vs Michigan,Ohio State football,Kansas City Chiefs,Powerball,Nick Saban retiring,Jim Harbaugh,Jason Kelce retire,Dallas Cowboys,Oscar nominations 2024,Super Bowl 2024,Adan Canto,NFL Games Today,"Perry, Iowa",Rickey Smiley,Ecuador,Lipid,Dexter King,Super Bowl,Pete Carroll,Doc Rivers,NFL playoff picture,Penn State football,3634.179931640625,3699.199951171875,3594.389892578125,3699.1201171875,26933100000,60.77001953125
2020-12-06,Vince McMahon,Nick Saban retiring,Ohio State football,Oscar nominations 2024,Alabama vs Michigan,Adan Canto,"Perry, Iowa",Powerball,Super Bowl 2024,Kansas City Chiefs,New Year's Day,NFL Games Today,Jim Harbaugh,Dallas Cowboys,Jason Kelce retire,Adam Harrison,Penn State football,Rickey Smiley,Ecuador,Pete Carroll,Super Bowl,NFL playoff picture,Lipid,Dexter King,Doc Rivers,3694.72998046875,3712.389892578125,3633.39990234375,3663.4599609375,23655640000,-35.66015625
2020-12-13,Vince McMahon,Dallas Cowboys,Jim Harbaugh,Adam Harrison,Oscar nominations 2024,Ohio State football,"Perry, Iowa",Powerball,New Year's Day,Super Bowl 2024,Nick Saban retiring,NFL Games Today,Jason Kelce retire,Adan Canto,Kansas City Chiefs,Alabama vs Michigan,Pete Carroll,Doc Rivers,Super Bowl,Rickey Smiley,Penn State football,NFL playoff picture,Ecuador,Lipid,Dexter King,3675.27001953125,3726.699951171875,3645.840087890625,3709.409912109375,24367880000,45.949951171875
2020-12-20,Nick Saban retiring,NFL Games Today,Oscar nominations 2024,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Jim Harbaugh,Jason Kelce retire,Dallas Cowboys,Ohio State football,"Perry, Iowa",New Year's Day,Vince McMahon,Alabama vs Michigan,Powerball,Adan Canto,Dexter King,Rickey Smiley,Lipid,NFL playoff picture,Super Bowl,Penn State football,Ecuador,Doc Rivers,Pete Carroll,3684.280029296875,3711.239990234375,3636.47998046875,3703.06005859375,14464830000,-6.349853515625
2020-12-27,Jason Kelce retire,"Perry, Iowa",Vince McMahon,Adam Harrison,New Year's Day,Ohio State football,Adan Canto,Super Bowl 2024,Jim Harbaugh,NFL Games Today,Alabama vs Michigan,Powerball,Oscar nominations 2024,Nick Saban retiring,Dallas Cowboys,Kansas City Chiefs,Doc Rivers,Lipid,Ecuador,Rickey Smiley,NFL playoff picture,Super Bowl,Pete Carroll,Dexter King,Penn State football,3723.030029296875,3760.199951171875,3723.030029296875,3756.070068359375,13262640000,53.010009765625
2021-01-03,Vince McMahon,Adan Canto,Oscar nominations 2024,Powerball,Super Bowl 2024,Dallas Cowboys,Ohio State football,"Perry, Iowa",Adam Harrison,Alabama vs Michigan,NFL Games Today,Jim Harbaugh,Kansas City Chiefs,Nick Saban retiring,Jason Kelce retire,New Year's Day,Dexter King,NFL playoff picture,Lipid,Rickey Smiley,Ecuador,Doc Rivers,Super Bowl,Pete Carroll,Penn State football,3764.610107421875,3826.68994140625,3662.7099609375,3824.679931640625,25542330000,68.60986328125
2021-01-10,Dallas Cowboys,"Perry, Iowa",Jim Harbaugh,Oscar nominations 2024,Powerball,Jason Kelce retire,Adam Harrison,NFL Games Today,Alabama vs Michigan,Adan Canto,New Year's Day,Ohio State football,Kansas City Chiefs,Vince McMahon,Nick Saban retiring,Super Bowl 2024,NFL playoff picture,Rickey Smiley,Ecuador,Doc Rivers,Dexter King,Super Bowl,Lipid,Penn State football,Pete Carroll,3803.139892578125,3823.60009765625,3749.6201171875,3768.25,24631190000,-56.429931640625
2021-01-17,Jason Kelce retire,Vince McMahon,Jim Harbaugh,"Perry, Iowa",Powerball,Super Bowl 2024,Kansas City Chiefs,NFL Games Today,Adam Harrison,New Year's Day,Oscar nominations 2024,Adan Canto,Dallas Cowboys,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Penn State football,NFL playoff picture,Rickey Smiley,Ecuador,Pete Carroll,Dexter King,Doc Rivers,Lipid,Super Bowl,3781.8798828125,3861.449951171875,3780.3701171875,3841.469970703125,19193280000,73.219970703125
