,Open,High,Low,Close,Volume,week,Close_change
106,31015.369140625,31223.779296875,30612.669921875,30814.259765625,1993220000,2021-01-10,-283.7109375
107,30887.419921875,31272.220703125,30865.029296875,30996.98046875,1626200000,2021-01-17,182.720703125
108,30989.849609375,31121.419921875,29856.30078125,29982.619140625,2413970000,2021-01-24,-1014.361328125
109,30054.73046875,31252.1796875,30014.970703125,31148.240234375,1617690000,2021-01-31,1165.62109375
110,31191.19921875,31543.8203125,31191.19921875,31458.400390625,1500320000,2021-02-07,310.16015625
111,31472.080078125,31647.529296875,31285.3203125,31494.3203125,1351780000,2021-02-14,35.919921875
112,31381.119140625,32009.640625,30911.369140625,30932.369140625,2244130000,2021-02-21,-561.951171875
113,31065.900390625,31668.33984375,30547.529296875,31496.30078125,2172260000,2021-02-28,563.931640625
114,31512.150390625,32793.3203125,31512.150390625,32778.640625,2111200000,2021-03-07,1282.33984375
115,32798.83984375,33227.78125,32505.0703125,32627.970703125,2368020000,2021-03-14,-150.669921875
116,32601.8203125,33098.828125,32071.41015625,33072.87890625,1962890000,2021-03-21,444.908203125
117,33087.55078125,33259.0,32905.12890625,33153.2109375,1385140000,2021-03-28,80.33203125
118,33222.37890625,33810.87109375,33222.37890625,33800.6015625,1536100000,2021-04-04,647.390625
119,33775.05859375,34256.75,33545.83984375,34200.671875,1630620000,2021-04-11,400.0703125
120,34182.37890625,34182.37890625,33687.01171875,34043.48828125,1644650000,2021-04-18,-157.18359375
121,34044.23046875,34148.94140625,33744.28125,33874.8515625,1687490000,2021-04-25,-168.63671875
122,33904.890625,34811.390625,33765.6796875,34777.76171875,1569640000,2021-05-02,902.91015625
123,34785.26953125,35091.55859375,33555.21875,34382.12890625,1810200000,2021-05-09,-395.6328125
124,34375.2890625,34415.48046875,33473.80078125,34207.83984375,1556490000,2021-05-16,-174.2890625
125,34253.87109375,34631.109375,34253.87109375,34529.44921875,1607030000,2021-05-23,321.609375
126,34584.19140625,34849.3203125,34334.41015625,34756.390625,1118940000,2021-05-30,226.94140625
127,34766.19921875,34820.91015625,34328.6484375,34479.6015625,1363810000,2021-06-06,-276.7890625
128,34472.51953125,34472.51953125,33271.9296875,33290.078125,1833720000,2021-06-13,-1189.5234375
129,33312.0703125,34501.01953125,33312.0703125,34433.83984375,1565090000,2021-06-20,1143.76171875
130,34428.1015625,34821.9296875,34186.12890625,34786.3515625,1428340000,2021-06-27,352.51171875
131,34790.16015625,34893.71875,34145.58984375,34870.16015625,1288570000,2021-07-04,83.80859375
132,34836.75,35090.01171875,34647.8203125,34687.8515625,1605000000,2021-07-11,-182.30859375
133,34528.48046875,35095.328125,33741.76171875,35061.55078125,1750200000,2021-07-18,373.69921875
134,35055.859375,35171.51953125,34871.12890625,34935.46875,1432660000,2021-07-25,-126.08203125
